Al,Co,Cr,Cu,Fe,Hf,Mn,Mo,Nb,Ni,Si,Ta,Ti,V,W,Zr,Phase
0.0,23.64066194,23.64066194,0.0,23.64066194,0.0,0.0,5.437352246,0.0,23.64066194,0.0,0.0,0.0,0.0,0.0,0.0,FCC
13.0,0.0,0.0,0.0,36.0,0.0,33.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
21.0,0.0,0.0,0.0,28.0,0.0,33.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
10.0,0.0,18.0,0.0,36.0,0.0,21.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC1+BCC2
0.0,27.27272727,18.18181818,0.0,18.18181818,0.0,0.0,0.0,0.0,27.27272727,0.0,0.0,9.090909091,0.0,0.0,0.0,FCC
16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,0.0,16.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC1+BCC2+FCC
0.0,24.3902439,24.3902439,0.0,24.3902439,2.43902439,0.0,0.0,0.0,24.3902439,0.0,0.0,0.0,0.0,0.0,0.0,FCC+Laves phase
0.0,23.25581395,23.25581395,0.0,23.25581395,6.976744186,0.0,0.0,0.0,23.25581395,0.0,0.0,0.0,0.0,0.0,0.0,FCC+Laves phase
0.0,22.72727273,22.72727273,0.0,22.72727273,9.090909091,0.0,0.0,0.0,22.72727273,0.0,0.0,0.0,0.0,0.0,0.0,FCC+Laves phase
0.0,22.22222222,22.22222222,0.0,22.22222222,11.11111111,0.0,0.0,0.0,22.22222222,0.0,0.0,0.0,0.0,0.0,0.0,FCC+Laves phase
0.0,21.73913043,21.73913043,0.0,21.73913043,13.04347826,0.0,0.0,0.0,21.73913043,0.0,0.0,0.0,0.0,0.0,0.0,FCC+Laves phase
16.66666667,16.66666667,16.66666667,0.0,16.66666667,0.0,0.0,0.0,0.0,33.33333333,0.0,0.0,0.0,0.0,0.0,0.0,FCC
16.12903226,16.12903226,16.12903226,0.0,16.12903226,0.0,0.0,0.0,0.0,35.48387097,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
0.0,19.2,19.2,0.0,19.2,0.0,19.2,4.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,FCC
23.25581395,23.25581395,6.976744186,0.0,23.25581395,0.0,0.0,0.0,0.0,23.25581395,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
22.22222222,22.22222222,11.11111111,0.0,22.22222222,0.0,0.0,0.0,0.0,22.22222222,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
21.27659574,21.27659574,14.89361702,0.0,21.27659574,0.0,0.0,0.0,0.0,21.27659574,0.0,0.0,0.0,0.0,0.0,0.0,BCC
16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,0.0,0.0,0.0,0.0,16.12903226,0.0,0.0,0.0,3.225806452,0.0,0.0,FCC
15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,0.0,0.0,0.0,0.0,15.38461538,0.0,0.0,0.0,7.692307692,0.0,0.0,FCC+BCC
14.70588235,14.70588235,14.70588235,14.70588235,14.70588235,0.0,0.0,0.0,0.0,14.70588235,0.0,0.0,0.0,11.76470588,0.0,0.0,FCC+BCC
